transaction_id,item_sku,region,transaction_date,unit_price,units_sold,gross_revenue,snapshot_date,current_stock,warehouse_id,stockout_risk,30d_avg_revenue
14502,PROD-087,Central,2024-01-01,189.09,67,12669.03,2023-12-29,2607,C,False,12669.03
13037,PROD-009,South,2024-01-01,338.63,10,3386.3,2023-12-29,1095,A,False,3386.3
14103,PROD-037,South,2024-01-01,225.94,91,20560.54,2023-12-31,4040,C,False,20560.54
10639,PROD-012,South,2024-01-01,135.1,8,1080.8,2023-12-24,383,B,False,1080.8
13605,PROD-004,Central,2024-01-01,445.85,37,16496.45,2023-12-24,457,B,True,16496.45
12850,PROD-018,North,2024-01-01,104.42,33,3445.86,2023-12-24,3136,A,False,3445.86
10096,PROD-051,North,2024-01-01,401.87,11,4420.57,2023-12-23,417,B,False,4420.57
14322,PROD-056,North,2024-01-01,177.88,21,3735.48,2023-12-30,1684,B,False,3735.48
13928,PROD-038,South,2024-01-01,178.63,54,9646.02,2023-12-29,2091,A,False,9646.02
13527,PROD-061,South,2024-01-02,248.51,98,24353.98,2023-12-26,656,B,True,24353.98
11644,PROD-057,Central,2024-01-02,141.06,23,3244.38,2023-12-23,2201,B,False,3244.38
13577,PROD-030,South,2024-01-03,299.05,100,29905.0,2024-01-01,4383,A,False,29905.0
10406,PROD-002,North,2024-01-03,462.38,14,6473.32,2024-01-01,3898,A,False,6473.32
12489,PROD-058,Central,2024-01-03,193.48,86,16639.28,2024-01-01,928,A,True,16639.28
10707,PROD-045,North,2024-01-03,91.15,1,91.15,2023-12-27,229,B,False,91.15
11400,PROD-042,South,2024-01-03,309.57,8,2476.56,2023-12-26,613,C,False,2476.56
11762,PROD-036,North,2024-01-03,360.78,85,30666.3,2023-12-30,2792,A,False,30666.3
13356,PROD-026,South,2024-01-03,73.83,67,4946.61,2023-12-26,3588,A,False,4946.61
12633,PROD-081,South,2024-01-03,450.42,30,13512.6,2024-01-01,3846,A,False,13512.6
11991,PROD-027,Central,2024-01-04,51.76,37,1915.12,2023-12-27,4466,A,False,1915.12
13354,PROD-069,North,2024-01-04,22.99,28,643.7199999999999,2023-12-31,3902,B,False,643.7199999999999
10872,PROD-077,Central,2024-01-04,228.11,20,4562.200000000001,2024-01-01,2573,C,False,4562.200000000001
14964,PROD-035,Central,2024-01-04,309.66,22,6812.52,2024-01-01,1766,A,False,6812.52
13548,PROD-024,South,2024-01-04,117.71,31,3649.0099999999998,2023-12-31,950,B,False,3649.0099999999998
10013,PROD-084,South,2024-01-04,421.54,61,25713.940000000002,2024-01-01,572,A,True,25713.940000000002
11508,PROD-003,South,2024-01-05,41.91,99,4149.089999999999,2023-12-28,3909,A,False,4149.089999999999
10527,PROD-038,Central,2024-01-05,171.35,39,6682.65,2023-12-29,2091,A,False,6682.65
11247,PROD-033,North,2024-01-05,492.52,26,12805.52,2024-01-02,3326,B,False,12805.52
13983,PROD-048,North,2024-01-05,366.5,26,9529.0,2023-12-28,3164,B,False,9529.0
13631,PROD-099,Central,2024-01-05,188.03,74,13914.22,2023-12-31,3577,C,False,13914.22
10211,PROD-002,Central,2024-01-06,399.11,99,39511.89,2024-01-01,3898,A,False,39511.89
10618,PROD-066,Central,2024-01-06,453.63,78,35383.14,2024-01-01,3403,B,False,35383.14
10831,PROD-053,North,2024-01-06,341.27,32,10920.64,2023-12-31,2481,B,False,10920.64
14589,PROD-024,South,2024-01-06,242.93,93,22592.49,2023-12-31,950,B,True,13120.75
